,Checking Account,Duration,Credit History,Purpose,Credit Amount,Saving Account,Employment Status,Installment Rate,Personal Status,Guarantors,Years in current address,Property,Age,Installment plans,Housing,Existing Credits,Job,Liable,Risk
0,little,6,default,radio/television,1169,unknown,>= 7 years,4,male   : single,none,4,real estate,67,none,own,2,skilled employee,1,good
1,moderate,48,paid back,radio/television,5951,little,1 to <4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee,1,bad
2,No Account,12,default,education,2096,little,4 to <7 years,2,male   : single,none,3,real estate,49,none,own,1,unskilled/resident,2,good
3,little,42,paid back,furniture/equipment,7882,little,4 to <7 years,2,male   : single,guarantor,4,life insurance,45,none,for free,1,skilled employee,2,good
4,little,24,delay,car,4870,little,1 to <4 years,3,male   : single,none,4,no property,53,none,for free,2,skilled employee,2,bad
5,No Account,36,paid back,education,9055,unknown,1 to <4 years,2,male   : single,none,4,no property,35,none,for free,1,unskilled/resident,2,good
6,No Account,24,paid back,furniture/equipment,2835,quite rich,>= 7 years,3,male   : single,none,4,life insurance,53,none,own,1,skilled employee,1,good
7,moderate,36,paid back,car,6948,little,1 to <4 years,2,male   : single,none,2,car,35,none,rent,1,management/highly qualified employee,1,good
8,No Account,12,paid back,radio/television,3059,rich,4 to <7 years,2,male   : divorced/separated,none,4,real estate,61,none,own,1,unskilled/resident,1,good
9,moderate,30,default,car,5234,little,unemployed,4,male   : married/widowed,none,2,car,28,none,own,2,management/highly qualified employee,1,bad
10,moderate,12,paid back,car,1295,little,< 1 year,3,female : divorced/separated/married,none,1,car,25,none,rent,1,skilled employee,1,bad
11,little,48,paid back,business,4308,little,< 1 year,3,female : divorced/separated/married,none,4,life insurance,24,none,rent,1,skilled employee,1,bad
12,moderate,12,paid back,radio/television,1567,little,1 to <4 years,1,female : divorced/separated/married,none,1,car,22,none,own,1,skilled employee,1,good
13,little,24,default,car,1199,little,>= 7 years,4,male   : single,none,4,car,60,none,own,2,unskilled/resident,1,bad
14,little,15,paid back,car,1403,little,1 to <4 years,2,female : divorced/separated/married,none,4,car,28,none,rent,1,skilled employee,1,good
15,little,24,paid back,radio/television,1282,moderate,1 to <4 years,4,female : divorced/separated/married,none,2,car,32,none,own,1,unskilled/resident,1,bad
16,No Account,24,default,radio/television,2424,unknown,>= 7 years,4,male   : single,none,4,life insurance,53,none,own,2,skilled employee,1,good
17,little,30,paid back,business,8072,unknown,< 1 year,2,male   : single,none,3,car,25,bank,own,3,skilled employee,1,good
18,moderate,24,paid back,car,12579,little,>= 7 years,4,female : divorced/separated/married,none,2,no property,44,none,for free,1,management/highly qualified employee,1,bad
19,No Account,24,paid back,radio/television,3430,quite rich,>= 7 years,3,male   : single,none,2,car,31,none,own,1,skilled employee,2,good
20,No Account,9,default,car,2134,little,1 to <4 years,4,male   : single,none,4,car,48,none,own,3,skilled employee,1,good
21,little,6,paid back,radio/television,2647,quite rich,1 to <4 years,2,male   : single,none,3,real estate,44,none,rent,1,skilled employee,2,good
22,little,10,default,car,2241,little,< 1 year,1,male   : single,none,3,real estate,48,none,rent,2,unskilled/resident,2,good
23,moderate,12,default,car,1804,moderate,< 1 year,3,male   : single,none,4,life insurance,44,none,own,1,skilled employee,1,good
24,No Account,10,default,furniture/equipment,2069,unknown,1 to <4 years,2,male   : married/widowed,none,1,car,26,none,own,2,skilled employee,1,good
25,little,6,paid back,furniture/equipment,1374,little,1 to <4 years,1,male   : single,none,2,real estate,36,bank,own,1,unskilled/resident,1,good
26,No Account,6,paid back,radio/television,426,little,>= 7 years,4,male   : married/widowed,none,4,car,39,none,own,1,unskilled/resident,1,good
27,rich,12,paid back,radio/television,409,rich,1 to <4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee,1,good
28,moderate,7,paid back,radio/television,2415,little,1 to <4 years,3,male   : single,guarantor,2,real estate,34,none,own,1,skilled employee,1,good
29,little,60,delay,business,6836,little,>= 7 years,3,male   : single,none,4,no property,63,none,own,2,skilled employee,1,bad
30,moderate,18,paid back,business,1913,rich,< 1 year,3,male   : married/widowed,none,3,real estate,36,bank,own,1,skilled employee,1,good
31,little,24,paid back,furniture/equipment,4020,little,1 to <4 years,2,male   : single,none,2,car,27,stores,own,1,skilled employee,1,good
32,moderate,18,paid back,car,5866,moderate,1 to <4 years,2,male   : single,none,2,car,30,none,own,2,skilled employee,1,good
33,No Account,12,default,business,1264,unknown,>= 7 years,4,male   : single,none,4,no property,57,none,rent,1,unskilled/resident,1,good
34,rich,12,paid back,furniture/equipment,1474,little,< 1 year,4,female : divorced/separated/married,none,1,life insurance,33,bank,own,1,management/highly qualified employee,1,good
35,moderate,45,default,radio/television,4746,little,< 1 year,4,male   : single,none,2,life insurance,25,none,own,2,unskilled/resident,1,bad
